year;fuel throughput [tons];fuel throughput [pebbles];seperative work [SWU];feedmass [tons];waste [m^3];fresh fuel storage [m^3];spent fuel storage [m^3];new ships deployed;number of refuelings;initial fuel loading [tons];refueling [tons];initial fuel loading [pebbles];refueling [pebbles];truckloads of waste transported;reactors in fleet
2035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0
2036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0
2037;0.18229166666666669;22786.458333333336;17447.720607949945;33268.22916666667;64.42719309119693;257.7087723647877;0.0;1;0;0.7291666666666667;0.0;91145.83333333334;0;0;1
2038;2.041666666666667;255208.33333333334;177966.75020108977;339335.93750000006;721.5845626214057;2628.629478120835;0.0;3;0;7.437500000000001;0.0;929687.5;0;0;9
2039;2.697916666666667;337239.5833333334;62811.79418861994;119765.62500000001;953.5224577497145;927.7515805132352;0.0;2;0;2.625;0.0;328125.0000000001;0.0;0;12
2040;5.6875;710937.5;286142.61797037907;545598.9583333333;2010.1284244453434;4226.423866782516;0.0;5;0;11.958333333333332;0.0;1494791.6666666665;0.0;0;25
2041;10.682291666666666;1335286.4583333333;495515.26526577864;944817.7083333334;3775.4335151441396;7318.929135159972;257.7087723647877;10;1;19.979166666666664;0.7291666666666667;2497395.833333333;91145.83333333334;0;49
2042;17.080729166666664;2135091.145833333;790381.7435401333;1507050.7812499998;6036.82799264515;11674.207388124874;2886.3382504856227;12;3;25.593749999999993;7.437500000000001;3199218.749999999;929687.5;0;77
2043;28.236979166666668;3529622.3958333335;1130612.2953951582;2155781.250000001;9979.772209826404;16699.528449238253;3814.089830998858;21;2;44.625000000000014;2.625;5578125.000000002;328125.0000000001;0;128
2044;47.6;5949999.999999999;2139439.5009468272;4079350.2604166665;16823.228659973338;31600.24966737025;8040.513697781374;37;5;77.45208333333333;11.958333333333332;9681510.416666662;1494791.6666666665;0;215
2045;75.19895833333334;9399869.791666668;3137100.165309407;5981627.604166668;26577.505693980554;46336.03727118884;15359.442832941346;53;11;110.39583333333334;20.708333333333332;13799479.166666675;2588541.6666666665;0;340
2046;115.23385416666666;14404231.77083333;4622250.143458091;8813419.270833332;40727.00584066922;68272.20797487954;26775.941448701433;76;15;160.1395833333333;33.03124999999999;20017447.91666665;4128906.249999999;87;520
2047;163.5484375;20443554.687499996;5754956.165326215;10973192.708333334;57802.78909756004;85002.66147680153;40846.84041981885;93;23;193.25833333333338;47.250000000000014;24157291.666666664;5906250.000000002;886;738
2048;217.42291666666668;27177864.583333332;7295938.849420369;13911442.708333336;76843.60174373239;107763.50025205966;71519.33850667588;102;42;215.4979166666667;89.41041666666666;26937239.583333343;11176302.083333328;313;982
2049;268.64322916666674;33580403.645833336;8039560.701731205;15329334.635416675;94946.3544584969;118747.0481302469;113628.9519110822;98;64;204.88125000000025;131.10416666666666;25610156.250000015;16388020.833333341;1424;1213
2050;312.8125;39101562.49999999;8849832.84676437;16874311.197916653;110557.0633444939;130715.04351886752;174582.23075080177;84;91;176.67708333333303;193.1708333333333;22084635.416666627;24146354.16666665;2466;1411
2051;347.13802083333326;43392252.60416666;9040361.95580317;17237600.260416653;122688.70380356627;133529.223313091;247910.68483947843;66;116;137.30208333333303;240.50833333333338;17162760.416666657;30063541.666666664;3933;1566
2052;371.41927083333337;46427408.85416667;9619975.234399319;18342770.833333354;131270.40592331372;142090.30873104947;338974.65664229984;47;144;97.12500000000045;304.90833333333336;12140625.00000006;38113541.66666667;5626;1675
2053;388.8463541666667;48605794.270833336;9707562.791851208;18509777.34375001;137429.64558283216;143384.00676832066;426121.45510517654;34;162;69.70833333333326;335.985416666667;8713541.666666657;41998177.08333336;10645;1754
2054;400.01718750000003;50002148.43750001;9919029.165619552;18912988.28124999;141377.7439754607;146507.43708938168;510500.46135285514;21;175;44.683333333333394;369.8479166666663;5585416.666666687;46230989.583333276;15608;1803
2055;406.8786458333334;50859830.72916667;9697094.159486413;18489816.406249993;143802.78352341335;143229.3815049016;575757.4766910666;14;182;27.44583333333344;377.8104166666664;3430729.1666666567;47226302.08333332;22997;1835
