year;fuel throughput [tons];fuel throughput [pebbles];seperative work [SWU];feedmass [tons];waste [m^3];fresh fuel storage [m^3];spent fuel storage [m^3];new ships deployed;number of refuelings;initial fuel loading [tons];refueling [tons];initial fuel loading [pebbles];refueling [pebbles];truckloads of waste transported
2035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0
2036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0
2037;0.06510416666666667;8138.020833333334;10904.825379968723;20792.643229166668;23.009711818284618;161.06798272799233;0.0;1;0;0.4557291666666667;0.0;56966.145833333336;0;0
2038;0.7291666666666666;91145.83333333333;111229.21887568105;212084.96093750003;257.7087723647877;1642.8934238255217;0.0;3;0;4.6484375;0.0;581054.6875;0;0
2039;0.9635416666666666;120442.70833333333;39257.37136788742;74853.515625;340.5437349106123;579.844737820772;0.0;2;0;1.640625;0.0;205078.125;0;0
2040;2.03125;253906.25;178839.13623148738;340999.3489583334;717.9030087304799;2641.514916739073;0.0;5;0;7.473958333333334;0.0;934244.7916666667;0;0
2041;3.8151041666666665;476888.0208333333;298792.2154111434;569718.4244791666;1348.3691125514783;4413.262726746989;0.0;10;0;12.486979166666666;0.0;1560872.3958333333;0;0
2042;6.100260416666667;762532.5520833334;382759.3708369024;729821.7773437502;2156.009997373268;5653.486193752528;0.0;12;0;15.996093750000004;0.0;1999511.7187500005;0.0;0
2043;10.084635416666666;1260579.4270833333;667375.3132540863;1272509.7656249998;3564.204360652286;9857.360542953127;0.0;21;0;27.890624999999993;0.0;3486328.124999999;0.0;0
2044;17.0;2125000.0;1169215.377240248;2229387.20703125;6008.295949990479;17269.709108095343;161.06798272799233;37;1;48.407552083333336;0.4557291666666667;6050944.010416667;56966.145833333336;0
2045;26.856770833333336;3357096.354166667;1762219.7814029492;3360091.145833334;9491.96631927877;26028.58600884356;1803.961406553514;53;3;68.99739583333334;4.6484375;8624674.479166668;581054.6875;0
2046;41.15494791666667;5144368.489583334;2434175.121316623;4641333.821614584;14545.359228810437;35953.59510454244;2383.8061443742863;76;2;100.08723958333334;1.640625;12510904.947916668;205078.125;0
2047;58.41015624999999;7301269.531249999;3069054.0549383946;5851881.510416663;20643.853249128588;45330.97305896613;5025.32106111336;93;5;120.78645833333326;7.473958333333334;15098307.291666657;934244.7916666667;0
2048;77.65104166666666;9706380.208333332;3521604.308207106;6714776.204427083;27444.143479904422;52015.294342177825;9438.583787860349;102;10;134.68619791666666;12.486979166666666;16835774.739583332;1560872.3958333333;0
2049;95.94401041666667;11993001.302083334;3446797.2061005235;6572138.671875006;33909.41230660604;50910.36798066387;14931.001998884884;98;12;128.0507812500001;15.996093750000004;16006347.656250013;1999511.7187500005;55
2050;111.71875;13964843.75;3309614.502820514;6310567.220052081;39484.665480176394;48884.1327579456;23145.46911801249;84;21;110.4231770833333;27.890624999999993;13802897.135416662;3486328.124999999;554
2051;123.97786458333331;15497233.072916664;3222593.9962883554;6144641.927083327;43817.39421555938;47598.81025577626;39835.33348828706;66;38;85.8138020833332;48.86328125;10726725.26041665;6107910.15625;196
2052;132.64973958333331;16581217.447916668;3214742.5220147856;6129671.223958334;46882.2878297549;47482.8413082122;63222.40458039154;47;56;60.703125;73.64583333333334;7587890.625000026;9205729.166666668;890
2053;138.87369791666666;17359212.239583332;3476676.42764163;6629110.514322921;49082.0162795829;51351.69425333843;94762.73695818699;34;78;43.5677083333334;101.72786458333334;5445963.541666649;12715983.072916668;1487
2054;142.86328124999997;17857910.156249996;3737301.7542228773;7126054.687499991;50492.05141980738;55201.21904053747;134440.2238234006;21;98;27.9270833333332;128.2604166666666;3490885.4166666493;16032552.083333323;1905
2055;145.31380208333331;18164225.260416664;3932061.935509123;7497411.295572919;51358.13697264762;58077.8932120595;176598.1576226253;14;112;17.1536458333334;147.17317708333331;2144205.7291666754;18396647.135416664;3321
2056;147.26302083333331;18407877.604166664;3773287.6779767796;7194670.410156256;52047.047744487056;55732.74338353993;210238.8164951938;10;110;13.64453125;144.0468750000001;1705566.40625;18005859.375000015;5818
2057;147.90885416666663;18488606.77083333;3417790.3705897927;6516830.240885409;52275.30408572444;50481.9271466073;233094.36324429585;4;105;4.520833333333201;138.3138020833333;565104.1666666493;17289225.26041666;8768
2058;148.71614583333331;18589518.229166664;3357813.8309999667;6402470.703125001;52560.62451227117;49596.05324160336;244739.57839552965;3;104;5.651041666666799;134.6770833333332;706380.2083333507;16834635.41666665;12111
2059;149.25781249999997;18657226.562499996;3305470.6691761166;6302666.015624997;52752.06531459929;48822.92692450905;246891.44664477571;4;103;3.7916666666666003;134.34895833333334;473958.33333332464;16793619.791666694;15270
2060;149.32291666666663;18665364.583333332;3487581.2530216016;6649903.157552084;52775.07502641759;51512.762236066505;246227.8465559363;1;112;0.45572916666660035;145.29557291666674;56966.14583335072;18161946.614583317;17521
