Bulk_carrier Panamax_container Large_container Ultra_large_container Offshore_vessel Oil_tanker Medium_Icebreaker Large_Icebreaker Fishing_vessels Large_cruise Passenger_ferry
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
1 0 0 0 0 0 0 0 0 0 0
1 0 1 1 1 0 0 0 0 0 0
2 1 1 1 1 0 0 0 0 0 0
3 1 2 3 2 0 0 0 0 0 0
5 2 4 4 3 1 1 1 0 0 0
8 3 7 7 5 1 1 1 0 0 0
13 4 11 12 8 2 2 2 0 0 0
22 7 18 20 13 3 3 3 0 1 1
35 11 29 32 20 4 5 5 1 1 1
53 17 44 49 31 7 7 7 1 2 2
75 24 62 69 44 9 10 10 2 4 4
98 32 82 91 57 12 14 14 3 6 6
120 39 100 111 70 15 17 17 4 10 10
138 45 115 128 80 17 19 19 6 15 15
151 49 126 140 88 19 21 21 8 20 20
159 52 133 148 93 20 22 22 11 25 25
165 53 137 153 96 21 23 23 13 30 30
168 54 140 156 98 21 23 23 14 34 34
170 55 142 157 99 21 24 24 15 36 36
171 55 143 159 100 21 24 24 16 38 38
172 56 143 159 100 21 24 24 16 39 39
172 56 144 160 100 22 24 24 16 39 39
172 56 144 160 101 22 24 24 17 40 40
173 56 144 160 101 22 24 24 17 40 40
