year;fuel throughput [tons];fuel throughput [pebbles];seperative work [SWU];feedmass [tons];waste [m^3];fresh fuel storage [m^3];spent fuel storage [m^3];new ships deployed;number of refuelings;initial fuel loading [tons];refueling [tons];initial fuel loading [pebbles];refueling [pebbles];truckloads of waste transported;reactors in fleet
2035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0
2036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0
2037;0.09114583333333334;11393.229166666668;10904.825379968737;20792.64322916667;32.21359654559846;161.06798272799233;0.0;1;0;0.45572916666666674;0.0;56966.14583333334;0;0;1
2038;1.0208333333333335;127604.16666666667;111229.21887568117;212084.96093750006;360.79228131070283;1642.8934238255217;0.0;3;0;4.648437500000001;0.0;581054.6875;0;0;9
2039;1.3489583333333335;168619.7916666667;39257.37136788742;74853.515625;476.76122887485724;579.844737820772;0.0;2;0;1.640625;0.0;205078.12500000006;0;0;12
2040;2.84375;355468.75;178839.13623148738;340999.3489583333;1005.0642122226717;2641.5149167390723;0.0;5;0;7.473958333333332;0.0;934244.7916666665;0.0;0;25
2041;5.341145833333333;667643.2291666666;298792.2154111434;569718.4244791665;1887.7167575720698;4413.262726746991;0.0;10;0;12.486979166666664;0.0;1560872.395833333;0.0;0;49
2042;8.540364583333332;1067545.5729166665;393664.1962168715;750614.4205729166;3018.413996322575;5814.554176480517;161.06798272799233;12;1;15.996093749999996;0.45572916666666674;1999511.7187499995;56966.14583333334;0;77
2043;14.118489583333334;1764811.1979166667;778604.5321297674;1484594.7265625005;4989.886104913202;11500.253966778659;1803.961406553514;21;3;27.890625000000007;4.648437500000001;3486328.125000001;581054.6875;0;128
2044;23.8;2974999.9999999995;1197567.9232281651;2283448.0794270835;8411.614329986669;17688.485863188107;2383.8061443742863;37;2;48.407552083333336;1.640625;6050944.010416664;205078.12500000006;0;215
2045;37.59947916666667;4699934.895833334;1829829.6987587512;3489005.533854167;13288.752846990277;27027.207501757115;5025.321061113358;53;5;68.99739583333334;7.473958333333332;8624674.479166672;934244.7916666665;0;340
2046;57.61692708333333;7202115.885416665;2693709.965359878;5136198.730468749;20363.50292033461;39787.013093468646;9438.583787860349;76;10;100.08723958333331;12.486979166666664;12510904.947916657;1560872.395833333;0;520
2047;81.77421875;10221777.343749998;3283879.1149237826;6261496.582031252;28901.39454878002;48504.012318707566;15092.069981612873;93;13;120.78645833333337;16.451822916666664;15098307.291666664;2056477.8645833328;55;738
2048;108.71145833333334;13588932.291666666;4001416.624925725;7629652.506510418;38421.800871866195;59102.285582209544;24949.43052456601;102;24;134.68619791666669;32.53906250000001;16835774.73958334;4067382.812500001;554;982
2049;134.32161458333337;16790201.822916668;4261605.758491777;8125764.973958342;47473.17722924845;62945.3676500994;42058.07164993334;98;39;128.05078125000017;50.048177083333336;16006347.65625001;6256022.135416664;196;1213
2050;156.40625;19550781.249999996;4472068.88832517;8527062.988281243;55278.53167224695;66053.9797167496;66443.76423495138;84;58;110.42317708333314;76.47135416666667;13802897.135416642;9558919.270833338;890;1411
2051;173.56901041666663;21696126.30208333;4747088.584407978;9051453.450520823;61344.351901783135;70116.11424114957;101817.51460167303;66;86;85.81380208333314;112.57421874999997;10726725.26041666;14071777.343749989;1487;1566
2052;185.70963541666669;23213704.427083336;4736401.855535634;9031076.660156265;65635.20296165686;69958.2676180762;144506.97274390009;47;106;60.703125000000284;137.23828125000003;7587890.625000037;17154785.156249996;1959;1675
2053;194.42317708333334;24302897.135416668;5043917.931250729;9617429.199218748;68714.82279141608;74500.38473100564;192109.00435933095;34;126;43.567708333333286;167.22526041666669;5445963.54166666;20903157.55208334;3874;1754
2054;200.00859375000002;25001074.218750004;4929853.457776271;9399938.151041677;70688.87198773035;72815.61363167074;237365.88614624224;21;137;27.92708333333337;178.0989583333335;3490885.416666679;22262369.79166667;5959;1803
2055;203.4393229166667;25429915.364583336;4882526.5156271905;9309698.079427078;71901.39176170668;72116.57858663122;276392.6583612347;14;142;17.1536458333334;186.89453124999983;2144205.7291666605;23361816.40624998;9104;1835
