year;fuel throughput [tons];fuel throughput [pebbles];seperative work [SWU];feedmass [tons];waste [m^3];fresh fuel storage [m^3];spent fuel storage [m^3];new ships deployed;number of refuelings;initial fuel loading [tons];refueling [tons];initial fuel loading [pebbles];refueling [pebbles];truckloads of waste transported
2035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0
2036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0
2037;0.06510416666666667;8138.020833333334;10655.222772576002;19683.837890625004;23.009711818284618;115.04855909142309;0.0;1;0;0.32552083333333337;0.0;40690.10416666667;0;0
2038;0.7291666666666666;91145.83333333333;108683.27228027489;200775.14648437503;257.7087723647877;1173.4953027325155;0.0;3;0;3.3203125;0.0;415039.0625;0;0
2039;0.9635416666666666;120442.70833333333;38358.801981273515;70861.81640625;340.5437349106123;414.17481272912283;0.0;2;0;1.171875;0.0;146484.375;0;0
2040;2.03125;253906.25;174745.6534702459;322814.9414062501;717.9030087304799;1886.796369099338;0.0;5;0;5.338541666666668;0.0;667317.7083333335;0.0;0
2041;3.8151041666666665;476888.0208333333;291953.10396858165;539337.158203125;1348.3691125514783;3152.330519104992;0.0;10;0;8.919270833333332;0.0;1114908.8541666665;0.0;0
2042;6.100260416666667;762532.5520833334;384653.54208999267;710586.5478515627;2156.009997373268;4153.252983200372;115.04855909142309;12;1;11.425781250000002;0.32552083333333337;1428222.6562500002;40690.10416666667;0
2043;10.084635416666666;1260579.4270833333;760782.9059619242;1405426.0253906248;3564.204360652286;8214.467119127607;1288.5438618239386;21;3;19.921874999999996;3.3203125;2490234.3749999995;415039.0625;0
2044;17.0;2125000.0;1170156.5648842975;2161679.077148438;6008.295949990479;12634.632759420088;1702.7186745530614;37;2;34.57682291666667;1.171875;4322102.864583334;146484.375;0
2045;26.856770833333336;3357096.354166667;1787946.38123825;3302947.998046876;9491.96631927877;19305.148215540794;3589.5150436523995;53;5;49.28385416666668;5.338541666666668;6160481.770833335;667317.7083333335;0
2046;41.15494791666667;5144368.489583334;2632053.1292817183;4862301.635742189;14545.359228810437;28419.295066763327;6741.845562757391;76;10;71.49088541666669;8.919270833333332;8936360.677083336;1114908.8541666665;0
2047;58.41015624999999;7301269.531249999;3208713.7857335284;5927590.94238281;20643.853249128588;34645.72308479113;10780.049986866341;93;13;86.2760416666666;11.751302083333336;10784505.208333325;1468912.760416667;39
2048;77.65104166666666;9706380.208333332;3909827.4441690296;7222787.475585937;27444.143479904422;42215.91827300678;17821.02180326143;102;24;96.20442708333331;23.242187499999996;12025553.385416664;2905273.4374999995;396
2049;95.94401041666667;11993001.302083334;4164061.059522696;7692443.847656256;33909.41230660604;44960.976892928185;30041.479749952396;98;39;91.46484375000007;35.74869791666667;11433105.46875001;4468587.239583334;140
2050;111.71875;13964843.75;4369706.859033406;8072341.918945313;39484.665480176394;47181.414083392556;47459.83159639385;84;58;78.87369791666664;54.62239583333334;9859212.23958333;6827799.479166668;636
2051;123.97786458333331;15497233.072916664;4638431.577357776;8568768.31054687;43817.39421555938;50082.93874367827;72726.79614405219;66;86;61.29557291666657;80.41015625000001;7661946.614583321;10051269.531250002;1062
2052;132.64973958333331;16581217.447916668;4627989.459040649;8549478.14941406;46882.2878297549;49970.19115576873;103219.26624564294;47;106;43.359375;98.02734374999993;5419921.875000019;12253417.96874999;1399
2053;138.87369791666666;17359212.239583332;4928466.741227299;9104562.377929691;49082.0162795829;53214.56052214677;137220.7173995221;34;126;31.119791666666714;119.44661458333331;3889973.958333321;14930826.822916664;2767
2054;142.86328124999997;17857910.156249996;4817013.1110261455;8898669.43359375;50492.05141980738;52011.152594050574;169547.0615330302;21;137;19.947916666666572;127.21354166666674;2493489.583333321;15901692.708333343;4256
2055;145.31380208333331;18164225.260416664;4770769.444193177;8813241.57714844;51358.13697264762;51511.84184759375;197423.32740088197;14;142;12.252604166666714;133.49609374999997;1531575.5208333395;16687011.718749998;6503
2056;147.26302083333331;18407877.604166664;4957448.947168708;9158102.416992186;52047.047744487056;53527.492602875456;219086.97107779692;10;152;9.74609375;141.7057291666666;1218261.71875;17713216.145833325;9573
2057;147.90885416666663;18488606.77083333;4733689.268944606;8744741.821289055;52275.30408572444;51111.472861955655;234411.43914877452;4;153;3.229166666666572;141.38671874999994;403645.8333333209;17673339.84375001;11670
2058;148.71614583333331;18589518.229166664;5060591.503607236;9348641.967773447;52560.62451227117;54641.16265488041;245410.08139791453;3;160;4.036458333333428;150.56640625000003;504557.2916666791;18820800.781249985;14220
2059;149.25781249999997;18657226.562499996;4905664.564493984;9062438.964843748;52752.06531459929;52968.35660569118;252460.25709903694;4;158;2.708333333333286;147.16145833333331;338541.66666666046;18395182.291666664;15145
2060;149.32291666666663;18665364.583333332;4781424.666965753;8832925.415039062;52775.07502641759;51626.890406685234;256790.68486323816;1;156;0.32552083333328596;145.74869791666669;40690.104166679084;18218587.239583336;15893
