year;fuel throughput [tons];fuel throughput [pebbles];seperative work [SWU];feedmass [tons];waste [m^3];fresh fuel storage [m^3];spent fuel storage [m^3];new ships deployed;number of refuelings;initial fuel loading [tons];refueling [tons];initial fuel loading [pebbles];refueling [pebbles];truckloads of waste transported;reactors in fleet
2035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0
2036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0
2037;0.032552083333333336;4069.010416666667;7458.655940803175;13778.686523437502;11.504855909142309;80.53399136399617;0.0;1;0;0.22786458333333334;0.0;28483.072916666668;0;0;1
2038;0.3645833333333333;45572.916666666664;76078.29059619247;140542.6025390625;128.85438618239385;821.4467119127609;0.0;3;0;2.32421875;0.0;290527.34375;0;0;9
2039;0.4817708333333333;60221.354166666664;26851.161386891472;49603.27148437501;170.27186745530614;289.922368910386;0.0;2;0;0.8203125;0.0;102539.0625;0;0;12
2040;1.015625;126953.125;122321.95742917224;225970.45898437506;358.95150436523994;1320.7574583695366;0.0;5;0;3.736979166666667;0.0;467122.3958333334;0;0;25
2041;1.9075520833333333;238444.01041666666;204367.17277800757;377536.01074218756;674.1845562757392;2206.6313633734944;0.0;10;0;6.243489583333333;0.0;780436.1979166666;0;0;49
2042;3.0501302083333335;381266.2760416667;261798.82352219196;483631.8969726564;1078.004998686634;2826.743096876264;0.0;12;0;7.998046875000002;0.0;999755.8593750002;0.0;0;77
2043;5.042317708333333;630289.7135416666;456469.7435771553;843255.6152343749;1782.102180326143;4928.680271476564;0.0;21;0;13.945312499999996;0.0;1743164.0624999995;0.0;0;128
2044;8.5;1062500.0;799717.089972917;1477350.769042969;3004.1479749952396;8634.854554047672;80.53399136399617;37;1;24.203776041666668;0.22786458333333334;3025472.0052083335;28483.072916666668;0;215
2045;13.428385416666668;1678548.1770833335;1205318.8000337966;2226635.7421875005;4745.983159639385;13014.29300442178;901.980703276757;53;3;34.49869791666667;2.32421875;4312337.239583334;290527.34375;0;340
2046;20.577473958333336;2572184.244791667;1664921.1791060884;3075678.4057617197;7272.679614405219;17976.79755227122;1191.9030721871432;76;2;50.04361979166667;0.8203125;6255452.473958334;102539.0625;0;520
2047;29.205078124999996;3650634.7656249995;2099164.1279796474;3877873.5351562486;10321.926624564294;22665.486529483063;2512.66053055668;93;5;60.39322916666663;3.736979166666667;7549153.645833328;467122.3958333334;0;738
2048;38.82552083333333;4853190.104166666;2408698.349522978;4449689.025878906;13722.071739952211;26007.647171088913;4719.291893930174;102;10;67.34309895833333;6.243489583333333;8417887.369791666;780436.1979166666;0;982
2049;47.972005208333336;5996500.651041667;2357531.9697690755;4355167.236328129;16954.70615330302;25455.183990331934;7465.500999442442;98;12;64.02539062500006;7.998046875000002;8003173.8281250065;999755.8593750002;28;1213
2050;55.859375;6982421.875;2263702.0780337676;4181831.3598632803;19742.332740088197;24442.0663789728;11572.734559006245;84;21;55.21158854166665;13.945312499999996;6901448.567708331;1743164.0624999995;277;1411
2051;61.98893229166666;7748616.536458332;2204182.0036261566;4071877.4414062463;21908.69710777969;23799.40512788813;19917.66674414353;66;38;42.9069010416666;24.431640625;5363362.630208325;3053955.078125;98;1566
2052;66.32486979166666;8290608.723958334;2198811.771348782;4061956.787109376;23441.14391487745;23741.4206541061;31611.20229019577;47;56;30.3515625;36.82291666666667;3793945.312500013;4602864.583333334;445;1675
2053;69.43684895833333;8679606.119791666;2377968.6870468743;4392920.837402347;24541.00813979145;25675.847126669214;47381.36847909349;34;78;21.7838541666667;50.86393229166667;2722981.7708333246;6357991.536458334;744;1754
2054;71.43164062499999;8928955.078124998;2556230.5640320666;4722231.445312494;25246.02570990369;27600.609520268736;67220.1119117003;21;98;13.9635416666666;64.1302083333333;1745442.7083333246;8016276.041666661;953;1803
2055;72.65690104166666;9082112.630208332;2689442.15913482;4968318.786621096;25679.06848632381;29038.94660602975;88299.07881131265;14;112;8.5768229166667;73.58658854166666;1072102.8645833377;9198323.567708332;1661;1835
