year;fuel throughput [tons];fuel throughput [pebbles];seperative work [SWU];feedmass [tons];waste [m^3];fresh fuel storage [m^3];spent fuel storage [m^3];new ships deployed;number of refuelings;initial fuel loading [tons];refueling [tons];initial fuel loading [pebbles];refueling [pebbles];truckloads of waste transported;reactors in fleet
2035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0
2036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0
2037;0.20833333333333334;26041.666666666668;24925.315154214244;47526.04166666667;73.63107781851076;368.15538909255383;0.0;1;0;1.0416666666666667;0.0;130208.33333333334;0;0;1
2038;2.333333333333333;291666.6666666666;254238.2145729852;484765.6249999999;824.6680715673203;3755.1849687440476;0.0;3;0;10.624999999999998;0.0;1328124.9999999998;0;0;9
2039;3.083333333333333;385416.6666666666;89731.13455517136;171093.75000000003;1089.7399517139593;1325.3594007331947;0.0;2;0;3.75;0.0;468750.0;0;0;12
2040;6.499999999999999;812499.9999999999;408775.1685291128;779427.083333333;2297.2896279375354;6037.748381117881;0.0;5;0;17.08333333333333;0.0;2135416.666666666;0.0;0;25
2041;12.208333333333332;1526041.6666666665;682953.6352254702;1302213.5416666667;4314.78116016473;10087.457661135973;0.0;10;0;28.541666666666664;0.0;3567708.333333333;0.0;0;49
2042;19.520833333333332;2440104.1666666665;899803.8770671338;1715690.1041666667;6899.231991594458;13290.409546241193;368.15538909255383;12;1;36.5625;1.0416666666666667;4570312.5;130208.33333333334;0;77
2043;32.27083333333333;4033854.1666666665;1779667.5020108968;3393359.374999999;11405.453954087316;26286.294781208337;4123.3403578366015;21;3;63.749999999999986;10.624999999999998;7968750.0;1328124.9999999998;0;128
2044;54.39999999999999;6800000.0;2737298.1102358103;5219309.895833333;19226.547039969533;40430.82483014428;5448.699758569796;37;2;110.64583333333331;3.75;13830729.166666668;468750.0;0;215
2045;85.94166666666665;10742708.33333333;4182467.8828771487;7974869.791666665;30374.29222169205;61776.47428973046;11486.448139687676;53;5;157.7083333333333;17.08333333333333;19713541.66666665;2135416.666666666;0;340
2046;131.69583333333333;16461979.166666668;6157051.3493940085;11739882.812500004;46545.1495321934;90941.74421364273;21573.90580082365;76;10;228.77083333333337;28.541666666666664;28596354.166666687;3567708.333333333;0;520
2047;186.9125;23364062.500000004;7506009.405540094;14311992.187500004;66060.33039721148;110866.3138713316;34496.15995797228;93;13;276.08333333333337;37.604166666666664;34510416.66666668;4700520.833333333;125;738
2048;248.4833333333333;31060416.666666664;9146095.142687365;17439205.72916666;87821.25913569416;135090.9384736217;57027.26977043657;102;24;307.8541666666665;74.37499999999999;38481770.8333333;9296875.0;1265;982
2049;307.0208333333333;38377604.16666666;9740813.162266925;18573177.08333334;108510.11938113929;143875.12605736993;96132.73519984765;98;39;292.6875000000001;114.39583333333331;36585937.49999996;14299479.166666668;447;1213
2050;357.49999999999994;44687499.99999999;10221871.744743243;19490429.68749999;126350.92953656446;150980.52506685635;151871.46110846024;84;58;252.39583333333314;174.79166666666663;31549479.16666668;21848958.333333313;2034;1411
2051;396.7291666666667;49591145.833333336;10850488.192932576;20689036.458333354;140215.66148979004;160265.4039797706;232725.747660967;66;86;196.1458333333337;257.31250000000006;24518229.166666716;32164062.50000002;3398;1566
2052;424.47916666666663;53059895.83333333;10826061.384081408;20642460.93749999;150023.32105521567;159904.61169845972;330301.6519860574;47;106;138.74999999999972;313.68750000000006;17343749.999999963;39210937.500000015;4477;1675
2053;444.3958333333333;55549479.166666664;11528955.271430269;21982695.312499996;157062.4520946653;170286.59367086983;439106.2956784708;34;126;99.58333333333343;382.2291666666665;12447916.66666668;47778645.8333333;8855;1754
2054;457.16249999999997;57145312.49999999;11268236.474917173;21485572.916666668;161574.56454338363;166435.68830096163;542550.5969056964;21;137;63.83333333333326;407.0833333333334;7979166.666666642;50885416.66666663;13619;1803
2055;465.0041666666666;58125520.83333333;11160060.607147887;21279309.895833313;164346.03831247237;164837.89391230006;631754.6476828223;14;142;39.2083333333332;427.1874999999997;4901041.666666679;53398437.49999999;20809;1835
