year;fuel throughput [tons];fuel throughput [pebbles];seperative work [SWU];feedmass [tons];waste [m^3];fresh fuel storage [m^3];spent fuel storage [m^3];new ships deployed;number of refuelings;initial fuel loading [tons];refueling [tons];initial fuel loading [pebbles];refueling [pebbles];truckloads of waste transported;reactors in fleet
2035;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0
2036;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0;0.0;0.0;0;0;0
2037;0.20833333333333334;26041.666666666668;12348.869980927673;25000.000000000004;73.63107781851076;294.52431127404304;0.0;1;0;0.8333333333333334;0.0;104166.66666666667;0;0;1
2038;2.333333333333333;291666.6666666666;125958.47380546201;255000.0;824.6680715673203;3004.147974995238;0.0;3;0;8.499999999999998;0.0;1062499.9999999998;0;0;9
2039;3.083333333333333;385416.6666666666;44455.93193133955;90000.00000000001;1089.7399517139593;1060.2875205865557;0.0;2;0;3.0;0.0;375000.0;0.0;0;12
2040;6.499999999999999;812499.9999999999;202521.46768721333;409999.99999999994;2297.2896279375354;4830.198704894305;0.0;5;0;13.666666666666664;0.0;1708333.333333333;0.0;0;25
2041;12.208333333333332;1526041.6666666665;350707.9074583459;710000.0000000001;4314.78116016473;8364.49044018282;294.52431127404304;10;1;22.833333333333332;0.8333333333333334;2854166.6666666665;104166.66666666667;0;49
2042;19.520833333333332;2440104.1666666665;559403.810136022;1132500.0;6899.231991594458;13341.95130071415;3298.6722862692814;12;3;29.25;8.499999999999998;3656250.0;1062499.9999999998;0;77
2043;32.27083333333333;4033854.1666666665;800206.7747641113;1619999.9999999998;11405.453954087316;19085.175370557987;4358.959806855837;21;2;50.999999999999986;3.0;6375000.0;375000.0;0;128
2044;54.39999999999999;6800000.0;1514218.437061347;3065500.0;19226.547039969533;36114.571048423175;9189.158511750142;37;5;88.51666666666665;13.666666666666664;11064583.333333334;1708333.333333333;0;215
2045;85.94166666666665;10742708.33333333;2220326.822570797;4494999.999999999;30374.29222169205;52955.47116707289;17553.648951932963;53;11;126.16666666666663;23.666666666666664;15770833.33333332;2958333.333333333;0;340
2046;131.69583333333333;16461979.166666668;3271462.635347355;6623000.000000003;46545.1495321934;78025.38054271955;30601.07594137307;76;15;183.0166666666667;37.75;22877083.33333335;4718750.0;100;520
2047;186.9125;23364062.500000004;4073151.2745091766;8246000.000000001;66060.33039721148;97145.89883063032;46682.10333693582;93;23;220.86666666666667;53.999999999999986;27608333.333333343;6750000.0;1012;738
2048;248.4833333333333;31060416.666666664;5163803.471224695;10453999.999999994;87821.25913569416;123158.28600235388;81736.38686477243;102;42;246.2833333333332;102.18333333333331;30785416.66666664;12772916.666666668;358;982
2049;307.0208333333333;38377604.16666666;5690112.309811838;11519500.000000004;108510.11938113929;135710.91214885341;129861.65932695099;98;64;234.1500000000001;149.83333333333331;29268749.99999997;18729166.666666657;1627;1213
2050;357.49999999999994;44687499.99999999;6263593.831726119;12680499.999999998;126350.92953656446;149388.62116442027;199522.5494294877;84;91;201.91666666666652;220.7666666666667;25239583.333333343;27595833.33333335;2818;1411
2051;396.7291666666667;49591145.833333336;6398443.4919178635;12953500.000000011;140215.66148979004;152604.82664353264;283326.49695940386;66;116;156.91666666666697;274.8666666666667;19614583.333333373;34358333.33333334;4495;1566
2052;424.47916666666663;53059895.83333333;6808672.952684268;13783999.99999999;150023.32105521567;162388.92426405638;387399.60759119975;47;144;110.99999999999977;348.4666666666665;13874999.99999997;43558333.33333331;6429;1675
2053;444.3958333333333;55549479.166666664;6870664.279988512;13909500.000000004;157062.4520946653;163867.4363066519;486995.94869163;34;162;79.66666666666674;383.98333333333335;9958333.333333343;47997916.66666662;12165;1754
2054;457.16249999999997;57145312.49999999;7020332.584157363;14212499.999999996;161574.56454338363;167437.07095929363;583429.0986889773;21;175;51.066666666666606;422.6833333333332;6383333.333333313;52835416.666666694;17838;1803
2055;465.0041666666666;58125520.83333333;6863254.95799996;13894500.00000001;164346.03831247237;163690.7217198876;658008.5447897904;14;182;31.36666666666656;431.78333333333364;3920833.3333333433;53972916.66666672;26282;1835
