year;ship_segment;route_id;start_port;start_iso3;end_port;end_iso3;route_type;route_preference_score;one_way_distance_km;distance_per_route_travel_km;route_travels;allocated_distance_km;allocated_portcalls
2037;Bulk_carrier;R002;Antwerp-Bruges;BEL;Hamburg;DEU;regional_north_sea;50.0;670.0;1340.0;5;6700.0;10.0
2037;Bulk_carrier;R006;Rotterdam;NTH;Shanghai;CHI;asia_europe_suez;50.0;19614.0;39228.0;3;117684.0;6.0
2038;Bulk_carrier;R002;Antwerp-Bruges;BEL;Hamburg;DEU;regional_north_sea;50.0;670.0;1340.0;5;6700.0;10.0
2038;Bulk_carrier;R006;Rotterdam;NTH;Shanghai;CHI;asia_europe_suez;50.0;19614.0;39228.0;3;117684.0;6.0
2038;Large_container;R004;Antwerp-Bruges;BEL;Singapore;SIG;asia_europe_suez;50.0;15486.0;30972.0;3;92916.0;6.0
2038;Large_container;R014;Busan;SKO;Singapore;SIG;intra_asia;50.0;4698.0;9396.0;22;206712.0;44.0
2038;Ultra_large_container;R004;Antwerp-Bruges;BEL;Singapore;SIG;asia_europe_suez;50.0;15486.0;30972.0;22;681384.0;44.0
2038;Offshore_vessel;R002;Antwerp-Bruges;BEL;Hamburg;DEU;regional_north_sea;50.0;670.0;1340.0;25;33500.0;50.0
2039;Bulk_carrier;R002;Antwerp-Bruges;BEL;Hamburg;DEU;regional_north_sea;50.0;670.0;1340.0;8;10720.0;16.0
2039;Bulk_carrier;R006;Rotterdam;NTH;Shanghai;CHI;asia_europe_suez;50.0;19614.0;39228.0;7;274596.0;14.0
2039;Panamax_container;R009;Jebel Ali;UAE;Rotterdam;NTH;asia_europe_suez;50.0;11631.0;23262.0;20;465240.0;40.0
2039;Large_container;R004;Antwerp-Bruges;BEL;Singapore;SIG;asia_europe_suez;50.0;15486.0;30972.0;1;30972.0;2.0
2039;Large_container;R009;Jebel Ali;UAE;Rotterdam;NTH;asia_europe_suez;50.0;11631.0;23262.0;2;46524.0;4.0
2039;Large_container;R014;Busan;SKO;Singapore;SIG;intra_asia;50.0;4698.0;9396.0;22;206712.0;44.0
2039;Ultra_large_container;R004;Antwerp-Bruges;BEL;Singapore;SIG;asia_europe_suez;50.0;15486.0;30972.0;1;30972.0;2.0
2039;Ultra_large_container;R009;Jebel Ali;UAE;Rotterdam;NTH;asia_europe_suez;50.0;11631.0;23262.0;21;488502.0;42.0
2039;Offshore_vessel;R002;Antwerp-Bruges;BEL;Hamburg;DEU;regional_north_sea;50.0;670.0;1340.0;25;33500.0;50.0
2040;Bulk_carrier;R002;Antwerp-Bruges;BEL;Hamburg;DEU;regional_north_sea;50.0;670.0;1340.0;12;16080.0;24.0
2040;Bulk_carrier;R006;Rotterdam;NTH;Shanghai;CHI;asia_europe_suez;50.0;19614.0;39228.0;10;392280.0;20.0
2040;Panamax_container;R009;Jebel Ali;UAE;Rotterdam;NTH;asia_europe_suez;50.0;11631.0;23262.0;20;465240.0;40.0
2040;Large_container;R004;Antwerp-Bruges;BEL;Singapore;SIG;asia_europe_suez;50.0;15486.0;30972.0;1;30972.0;2.0
2040;Large_container;R009;Jebel Ali;UAE;Rotterdam;NTH;asia_europe_suez;50.0;11631.0;23262.0;6;139572.0;12.0
2040;Large_container;R014;Busan;SKO;Singapore;SIG;intra_asia;50.0;4698.0;9396.0;43;404028.0;86.0
2040;Ultra_large_container;R004;Antwerp-Bruges;BEL;Singapore;SIG;asia_europe_suez;50.0;15486.0;30972.0;1;30972.0;2.0
2040;Ultra_large_container;R009;Jebel Ali;UAE;Rotterdam;NTH;asia_europe_suez;50.0;11631.0;23262.0;67;1558554.0;134.0
2040;Offshore_vessel;R002;Antwerp-Bruges;BEL;Hamburg;DEU;regional_north_sea;50.0;670.0;1340.0;50;67000.0;100.0
2041;Bulk_carrier;R002;Antwerp-Bruges;BEL;Hamburg;DEU;regional_north_sea;50.0;670.0;1340.0;21;28140.0;42.0
2041;Bulk_carrier;R006;Rotterdam;NTH;Shanghai;CHI;asia_europe_suez;50.0;19614.0;39228.0;17;666876.0;34.0
2041;Panamax_container;R009;Jebel Ali;UAE;Rotterdam;NTH;asia_europe_suez;50.0;11631.0;23262.0;40;930480.0;80.0
2041;Large_container;R004;Antwerp-Bruges;BEL;Singapore;SIG;asia_europe_suez;50.0;15486.0;30972.0;1;30972.0;2.0
2041;Large_container;R008;Singapore;SIG;Jebel Ali;UAE;middle_east_asia;50.0;6486.0;12972.0;51;661572.0;102.0
2041;Large_container;R009;Jebel Ali;UAE;Rotterdam;NTH;asia_europe_suez;50.0;11631.0;23262.0;1;23262.0;2.0
2041;Large_container;R014;Busan;SKO;Singapore;SIG;intra_asia;50.0;4698.0;9396.0;47;441612.0;94.0
