year;active_nuclear_ports;effective_port_units;global_new_ship_loadings;global_refuellings;global_total_service_events;global_fresh_fuel_storage_m3;global_spent_fuel_storage_m3;global_truckloads;average_service_events_per_active_port;average_refuellings_per_active_port;average_fresh_storage_m3_per_active_port;average_spent_storage_m3_per_active_port;average_truckloads_per_active_port
2035;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2036;0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2037;1;0.65;1.0;0.0;1.0;115.04855909142309;0.0;0.0;1.0;0.0;115.04855909142309;0.0;0.0
2038;3;2.3000000000000003;3.0;0.0;3.0;1173.4953027325155;0.0;0.0;1.0;0.0;391.1651009108385;0.0;0.0
2039;3;3.2875000000000005;2.0;0.0;2.0;414.17481272912283;0.0;0.0;0.6666666666666666;0.0;138.0582709097076;0.0;0.0
2040;4;4.7;5.0;0.0;5.0;1886.796369099338;0.0;0.0;1.25;0.0;471.6990922748345;0.0;0.0
2041;5;5.4750000000000005;10.0;0.0;10.0;3152.330519104992;0.0;0.0;2.0;0.0;630.4661038209985;0.0;0.0
2042;5;6.050000000000001;12.0;1.0;13.0;4153.252983200372;115.04855909142309;0.0;2.6;0.2;830.6505966400744;23.009711818284618;0.0
2043;5;6.25;21.0;3.0;24.0;8214.467119127607;1288.5438618239386;0.0;4.8;0.6;1642.8934238255213;257.7087723647877;0.0
2044;5;6.25;37.0;2.0;39.0;12634.632759420088;1702.7186745530614;0.0;7.8;0.4;2526.9265518840175;340.5437349106123;0.0
2045;7;7.525;53.0;5.0;58.0;19305.148215540794;3589.5150436523995;0.0;8.285714285714286;0.7142857142857143;2757.8783165058276;512.7878633789143;0.0
2046;7;8.1625;76.0;10.0;86.0;28419.295066763327;6741.845562757391;0.0;12.285714285714286;1.4285714285714286;4059.899295251904;963.1207946796274;0.0
2047;7;8.8;93.0;13.0;106.0;34645.72308479113;10780.049986866341;39.0;15.142857142857142;1.8571428571428572;4949.389012113018;1540.007140980906;5.571428571428571
2048;7;8.8;102.0;24.0;126.0;42215.91827300678;17821.02180326143;396.0;18.0;3.4285714285714284;6030.845467572397;2545.8602576087756;56.57142857142857
2049;7;8.8;98.0;39.0;137.0;44960.976892928185;30041.479749952396;140.0;19.571428571428573;5.571428571428571;6422.996698989741;4291.639964278914;20.0
2050;10;10.6;84.0;58.0;142.0;47181.414083392556;47459.83159639385;636.0;14.2;5.8;4718.141408339256;4745.983159639385;63.6
2051;10;11.5;66.0;86.0;152.0;50082.93874367827;72726.79614405219;1062.0;15.2;8.6;5008.293874367827;7272.679614405219;106.2
2052;10;12.4;47.0;106.0;153.0;49970.19115576873;103219.26624564294;1399.0;15.3;10.6;4997.0191155768725;10321.926624564294;139.9
2053;10;12.4;34.0;126.0;160.0;53214.56052214677;137220.7173995221;2767.0;16.0;12.6;5321.456052214677;13722.071739952211;276.7
2054;10;12.4;21.0;137.0;158.0;52011.152594050574;169547.0615330302;4256.0;15.8;13.7;5201.115259405057;16954.70615330302;425.6
2055;12;13.475;14.0;142.0;156.0;51511.84184759375;197423.32740088197;6503.0;13.0;11.833333333333334;4292.653487299479;16451.9439500735;541.9166666666666
2056;12;14.0125;10.0;152.0;162.0;53527.492602875456;219086.97107779692;9573.0;13.5;12.666666666666666;4460.624383572955;18257.24758981641;797.75
2057;12;14.55;4.0;153.0;157.0;51111.472861955655;234411.43914877452;11670.0;13.083333333333334;12.75;4259.289405162971;19534.28659573121;972.5
2058;12;14.55;3.0;160.0;163.0;54641.16265488041;245410.08139791453;14220.0;13.583333333333334;13.333333333333334;4553.430221240034;20450.840116492876;1185.0
2059;12;14.55;4.0;158.0;162.0;52968.35660569118;252460.25709903694;15145.0;13.5;13.166666666666666;4414.029717140932;21038.354758253077;1262.0833333333333
2060;16;16.425;1.0;156.0;157.0;51626.890406685234;256790.68486323816;15893.0;9.8125;9.75;3226.680650417827;16049.417803952385;993.3125
